"week","defib_type","n"
2023-05-07,"Multi guardian account defib",147
2023-05-07,"School defib",186
2023-05-07,"Single guardian account defib",242
2023-05-14,"Multi guardian account defib",155
2023-05-14,"School defib",165
2023-05-14,"Single guardian account defib",247
2023-05-21,"Multi guardian account defib",163
2023-05-21,"School defib",177
2023-05-21,"Single guardian account defib",268
2023-05-28,"Multi guardian account defib",87
2023-05-28,"School defib",24
2023-05-28,"Single guardian account defib",199
2023-06-04,"Multi guardian account defib",101
2023-06-04,"School defib",150
2023-06-04,"Single guardian account defib",241
2023-06-11,"Multi guardian account defib",101
2023-06-11,"School defib",168
2023-06-11,"Single guardian account defib",268
2023-06-18,"Multi guardian account defib",224
2023-06-18,"School defib",250
2023-06-18,"Single guardian account defib",270
2023-06-25,"Multi guardian account defib",255
2023-06-25,"School defib",290
2023-06-25,"Single guardian account defib",256
2023-07-02,"Multi guardian account defib",162
2023-07-02,"School defib",315
2023-07-02,"Single guardian account defib",359
2023-07-09,"Multi guardian account defib",161
2023-07-09,"School defib",277
2023-07-09,"Single guardian account defib",256
2023-07-16,"Multi guardian account defib",119
2023-07-16,"School defib",366
2023-07-16,"Single guardian account defib",298
2023-07-23,"Multi guardian account defib",152
2023-07-23,"School defib",109
2023-07-23,"Single guardian account defib",230
2023-07-30,"Multi guardian account defib",83
2023-07-30,"School defib",28
2023-07-30,"Single guardian account defib",217
2023-08-06,"Multi guardian account defib",82
2023-08-06,"School defib",33
2023-08-06,"Single guardian account defib",199
2023-08-13,"Multi guardian account defib",255
2023-08-13,"School defib",25
2023-08-13,"Single guardian account defib",193
2023-08-20,"Multi guardian account defib",69
2023-08-20,"School defib",39
2023-08-20,"Single guardian account defib",196
2023-08-27,"Multi guardian account defib",72
2023-08-27,"School defib",61
2023-08-27,"Single guardian account defib",209
2023-09-03,"Multi guardian account defib",78
2023-09-03,"School defib",206
2023-09-03,"Single guardian account defib",207
2023-09-10,"Multi guardian account defib",124
2023-09-10,"School defib",235
2023-09-10,"Single guardian account defib",212
2023-09-17,"Multi guardian account defib",114
2023-09-17,"School defib",236
2023-09-17,"Single guardian account defib",218
2023-09-24,"Multi guardian account defib",82
