"Month_Yr","n","cumulative"
"2019-06",2364,2364
"2019-07",249,2613
"2019-08",1788,4401
"2019-09",430,4831
"2019-10",264,5095
"2019-11",2381,7476
"2019-12",268,7744
"2020-01",307,8051
"2020-02",3437,11488
"2020-03",378,11866
"2020-04",121,11987
"2020-05",74,12061
"2020-06",154,12215
"2020-07",135,12350
"2020-08",151,12501
"2020-09",117,12618
"2020-10",138,12756
"2020-11",169,12925
"2020-12",141,13066
"2021-01",169,13235
"2021-02",182,13417
"2021-03",209,13626
"2021-04",230,13856
"2021-05",2644,16500
"2021-06",2659,19159
"2021-07",1749,20908
"2021-08",1525,22433
"2021-09",1353,23786
"2021-10",2097,25883
"2021-11",2225,28108
"2021-12",1429,29537
"2022-01",2300,31837
"2022-02",2713,34550
"2022-03",1788,36338
"2022-04",2086,38424
"2022-05",2281,40705
"2022-06",1853,42558
"2022-07",2543,45101
"2022-08",2130,47231
"2022-09",1914,49145
"2022-10",1963,51108
"2022-11",1936,53044
"2022-12",1416,54460
"2023-01",1739,56199
"2023-02",1622,57821
"2023-03",2327,60148
"2023-04",2660,62808
"2023-05",2400,65208
"2023-06",2707,67915
"2023-07",2916,70831
"2023-08",1591,72422
"2023-09",2255,74677
"2023-10",2074,76751
"2023-11",2116,78867
"2023-12",1257,80124
"2024-01",2467,82591
"2024-02",2052,84643
"2024-03",2078,86721
"2024-04",1886,88607
"2024-05",2151,90758
"2024-06",1773,92531
"2024-07",1485,94016
"2024-08",1273,95289
"2024-09",577,95866
